tm_id,tm_name,understat_id,understat_name
190333,Farès Bahlouli,3427,Fares Bahlouli
112822,Karl-Johan Johnsson,5690,Karl-Johan Johnsson
22217,Roberto Vitiello,1279,Roberto Vitiello
229817,Ali Sowe,9383,Ali Sowe
270393,Robert Skov,7867,Robert Skov
120629,Alphonse Areola,2310,Alphonse Areola
250779,Brendan Chardonnet,7736,Brendan Chardonnet
34026,Siaka Tiéné,4722,Siaka Tiéné
124517,Sebastian Kerk,4346,Sebastian Kerk
176618,Pavel Mogilevets,2773,Pavel Mogilevets
195652,Jordon Ibe,481,Jordon Ibe
256358,Bruno Petkovic,4930,Bruno Petkovic
5986,Ferdinando Coppola,1854,Ferdinando Coppola
30332,Daniele Capelli,3853,Daniele Capelli
176623,Vyacheslav Zinkov,3113,Vyacheslav Zinkov
144547,Petr Ten,5486,Petr Ten
58405,Artem Kravets,2630,Artem Kravets
205503,Ibrahim Amadou,3358,Ibrahim Amadou
199321,Rubén Blanco,2293,Rubén Blanco
142031,Omar Mascarell,2456,Omar Mascarell
